Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Peru,2014,104th,warning,101.3,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5,4.4,2.5,8.6,0.8,7.3,7.1,2.2
Macedonia,2014,105th,warning,101.2,5.7,7,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5,5.9,1.5,9.5,3.3,7.3,9.8,3.3
Suriname,2014,106th,warning,100.3,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2,2.4,8.2,2.6,6.5,8.8,1.2
Equatorial Guinea,2014,107th,warning,99.4,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8,4.9,0,1.7,2,3.1,2.4
Kazakhstan,2014,108th,warning,99.3,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5,2.7,9.5,0.9,6.9,8.3,2.5
Samoa,2014,109th,warning,98.9,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3,4.1,5.4,2.6,7.4,9.5,0.6
Malaysia,2014,110th,warning,98.5,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1,2.1,9.7,3.3,7.3,8.9,1
Belize,2014,111th,warning,98.4,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6,2.6,9.5,3.4,6.1,9.5,0.3
Ghana,2014,112th,warning,97.9,4.1,5,4.9,6,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3,4.1,9.9,2.3,3.3,6.5,1.1
Namibia,2014,113th,warning,97.1,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2,3.5,8.6,3.2,4,6.3,0
Albania,2014,114th,warning,96.5,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2,1.7,9.9,2.2,8.1,9,2
Jamaica,2014,115th,warning,96.3,6,3.7,4,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6,2,9.1,2.6,7.5,8.8,1.3
Saudi Arabia,2014,116th,warning,95.9,6.9,8,7.7,3.9,6.1,3.4,8.1,4,8.8,6,4.9,5.3,2.6,9.9,1.4,6.9,0,2
Gabon,2014,117th,warning,95,5.1,7.1,3.6,5.1,7,5.5,7.7,7.1,6.6,6.9,5.3,5.2,3.9,6.3,1.1,4.3,5.7,1.5
Brunei Darussalam,2014,118th,warning,94.3,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1,1.9,10,1.2,7.7,9.9,0
Seychelles,2014,119th,warning,93.4,6.4,5.7,4.8,4.9,6.3,5.2,6,3.5,4.9,5.4,3.4,7.2,2.3,10,5.4,7.6,0,4.4
South Africa,2014,120th,warning,91.8,4.9,5.6,5.8,5.8,7.7,4.6,5,6.1,4.3,7.4,6.2,3.2,2.5,7.2,1.3,3.7,6.2,4.2
Botswana,2014,121st,warning,90.9,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9,2.8,9.5,2.6,4.6,5.8,1
Brazil,2014,122nd,stable,89.8,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3,1.8,9.2,0.1,7.7,8.6,1
Ukraine,2014,123rd,stable,89.7,4.7,8,6.4,5.5,5,5.4,8,3.9,6.1,4.5,3.4,6.3,1.5,0.4,2.5,7,9.9,1.2
Grenada,2014,124th,stable,89.3,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4,5.5,3.5,7.4,2.1,9.7,2,6.9,0,3.3
Bahrain,2014,125th,stable,89.1,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6,2.1,9.9,4.2,7.4,0,0.8
Romania,2014,126th,stable,88.8,3.8,5.2,6.6,5.7,5,4.4,6.1,4.6,4.2,4,3,4.3,1.5,9.4,1.9,7.7,10,1.4
Montenegro,2014,127th,stable,88.6,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6,1.7,9,3,7.8,9.7,1.7
Panama,2014,128th,stable,87.9,4.8,2.5,5.3,3.7,7.6,4.2,4.6,5.2,4.7,5.6,4,3.5,2.6,7.6,3.1,8.3,8.7,1.9
Bulgaria,2014,129th,stable,87.3,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7,1.5,8.6,3.4,7.5,9.9,2
Mongolia,2014,130th,stable,86.9,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2,2.8,10,2.8,6.1,5.5,1.5
Croatia,2014,131st,stable,86.5,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7,1.5,9.5,2.1,8.2,10,2.4
Greece,2014,132nd,stable,86.2,4.2,3.5,5.1,6.5,4,4.1,6.4,3.6,3.7,3.5,1.9,5.6,1.3,10,1.5,9.2,10,2.1
Trinidad and Tobago,2014,133rd,stable,83.8,5.4,5.6,4.4,4.6,5.8,7.8,5.3,5.1,4.9,5.2,3.3,3.9,1.8,9.1,2.3,6.4,0,2.9
Oman,2014,135th,stable,83.6,5,6.6,2.7,4.8,3.9,2.1,6.4,4.1,7.4,5.3,2.3,2.5,2.8,10,2.2,7.8,7.6,0.1
United Arab Emirates,2014,134th,stable,83.6,3.1,3.6,4,3.4,4.5,2.7,6.7,3.2,6.5,4.2,2.5,3.2,1.8,10,4.8,7.6,10,1.8
Hungary,2014,136th,stable,83,2.6,4.9,4.4,5.6,4.6,3.6,6,3.2,4.1,2.8,2.8,3.7,1.4,10,4.4,7.9,10,1
