Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Indonesia,2012,72nd,110.9,Elevated warning,7.1,7,7.1,6,7.2,6.6,6.7,6.2,6.8,7.4,6.3,6.2,2.5,7.9,1.4,5.2,10,3.3
Tunisia,2012,73rd,110.8,Elevated warning,7.5,7.8,5.6,5.5,6.3,5.2,7.8,5,8.3,5.2,4,6,2.2,9.7,3.4,6.9,9.7,4.7
Turkmenistan,2012,74th,110.8,Elevated warning,7.2,7.7,6.4,5.7,6.8,4.8,9,6.4,8.4,6.2,3.9,4.9,2.9,9.7,2.5,5.2,10,3
Serbia,2012,75th,110.7,Elevated warning,6.4,8,7.9,6.2,6.2,4.7,6.6,4.6,5.8,5,6.3,7.3,1.5,8.9,3.1,7,9.3,5.9
Bhutan,2012,76th,110.5,Elevated warning,5.9,7.5,7.6,6.6,7.8,6.5,6.3,6.6,7.3,6.7,6.6,7,2.2,9.7,3.6,4.7,6.3,1.5
Azerbaijan,2012,77th,110.1,Elevated warning,6.7,7.8,7.2,5.2,6.6,5.1,8,5.4,7.3,5.6,7.6,7.2,2,8.7,1.4,6.2,9.2,2.8
Swaziland,2012,78th,109.9,Elevated warning,6.3,7,3.6,8.3,7,5.8,8.6,7.7,8.3,8.9,4.6,7.4,3.4,9.5,3.2,1.8,6.2,2.4
Honduras,2012,79th,109.7,Elevated warning,7,6.3,5.6,7.2,8.1,6.9,7,6.7,6.2,7.3,3.6,6.6,2.7,9.7,4,6.4,4.9,3.5
Cape Verde,2012,80th,109.5,Elevated warning,5.7,5.7,4.2,6.6,6.6,8.4,6.6,6.6,5.4,7,4,7.9,2.5,9.3,3.4,6.1,9.7,3.7
Madagascar,2012,81st,109.3,Elevated warning,6.9,7.8,5.2,7.9,7.6,5.2,7.3,8.3,6,8,4.4,8,4.4,6.1,2.5,4,6.5,3.1
Turkey,2012,82nd,109.1,Elevated warning,7.7,7.5,8.6,5.6,7.1,4.2,6.2,6,5.3,6,6.5,5.9,2.1,9.7,1.6,7.1,9.4,2.5
