Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Zambia,2013,58th,115.7,Elevated Warning,5,5.7,6,8.3,8,7.4,8,7.6,6.7,9.3,7.4,7.2,5.2,7.9,4.4,6.2,4.2,1.2
Lesotho,2013,59th,115.5,Elevated Warning,5.2,7,4.7,8.5,6.7,6.8,6,8.2,5.4,8.8,4.9,7.2,3.2,9.3,8.9,5.5,6.5,2.7
Honduras,2013,60th,115.3,Elevated Warning,6.8,6.3,5.8,6.9,8.1,6.6,6.9,6.8,6.3,7,3.9,6.9,2.6,9.7,6.8,7.6,8.3,2
Gambia,2013,61st,115,Elevated Warning,5.5,6.8,3.7,7.8,6.8,7.1,7.6,7.5,8,7.7,6.4,6.9,5.6,9.7,4.1,6.2,6.8,0.8
Jordan,2013,62nd,114.9,Elevated Warning,5.8,6.8,7.1,6.5,6.5,4.2,6.5,4.3,7.4,6.7,7.8,6.2,3.6,9.8,7.2,7.6,9.7,1.2
Maldives,2013,63rd,114.7,Elevated Warning,5.8,8,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4,2.2,9.9,8.6,7.8,10,0.7
Belarus,2013,64th,114.6,Elevated Warning,6.3,8.3,6.8,6.2,5.7,3.9,9,5.2,8.3,5.7,3.6,7.6,1.7,9.8,6.1,7.8,9.9,2.7
Colombia,2013,65th,114.1,Elevated Warning,6.8,7.7,7.5,3.8,8.1,7.3,7.3,6.1,7.3,6.5,8.3,7.1,1.9,9.1,2,7.7,8.4,1.2
Bolivia,2013,66th,113.9,Elevated Warning,6.7,8,7.1,6.2,8.9,6.4,7.2,6.8,6.3,6.9,4,6.3,3,9.4,3.7,7,7.5,2.5
China,2013,67th,113.8,Elevated Warning,6.5,7.2,8.3,3.6,8,5,8.1,6.8,9.4,8.1,6.1,3.8,1.6,9.9,2.2,7.7,9.2,2.3
Algeria,2013,68th,113.7,Elevated Warning,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7,5.2,2.9,9.5,3,7.7,8.8,3.2
Guatemala,2013,69th,113.6,Elevated Warning,7,6,7.3,6.1,8.1,7.1,6.9,6.9,6.6,7.3,6,5.4,3.2,8.5,3.5,7.6,8.8,1.3
Tunisia,2013,70th,112.7,Elevated Warning,7.2,7.8,7.8,6,6,5,7.9,5,8.4,4.9,4.2,6.3,2.2,9.8,5.7,7.7,8.1,2.7
Ecuador,2013,71st,112.6,Elevated Warning,6.7,8.2,7.2,5.6,7.4,6.8,7.2,6.9,4.9,5.8,5.7,6.2,2.6,8.7,3.1,7.8,7.9,3.9
Moldova,2013,72nd,112.3,Elevated Warning,7.2,7.7,6,6.4,5.9,6.9,6.9,5.7,6,5.9,5,6.9,1.3,9,8.1,7.5,7.9,2
Thailand,2013,73rd,112.2,Elevated Warning,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6,1.5,9.9,6.5,7.9,9.7,1.6
