Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Algeria,2013,68th,72,Elevated Warning,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7,5.2,2.9,-9.5,-3,-7.7,8.8,-3.2
Nicaragua,2013,57th,71.7,Elevated Warning,5.6,6.8,5.9,6.8,7.9,7.8,7.5,6.8,5.4,6.6,4.8,7.3,2.3,-9.8,-6.6,-7.8,6.1,-4
India,2013,93rd,71.5,Elevated Warning,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,5.2,5.2,2.4,-8.3,-2.8,-6.9,8.4,-1.1
Honduras,2013,60th,71.2,Elevated Warning,6.8,6.3,5.8,6.9,8.1,6.6,6.9,6.8,6.3,7,3.9,6.9,2.6,-9.7,-6.8,-7.6,8.3,-2
Azerbaijan,2013,85th,70.8,Elevated Warning,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,7.9,6.9,2,-9.3,-2.7,-7.5,7,-1.6
Turkmenistan,2013,88th,70,Elevated Warning,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,3.9,4.6,3,-9.8,0,-7.1,9.5,-1.7
Jordan,2013,62nd,69.6,Elevated Warning,5.8,6.8,7.1,6.5,6.5,4.2,6.5,4.3,7.4,6.7,7.8,6.2,3.6,-9.8,-7.2,-7.6,9.7,-1.2
Venezuela,2013,94th,69.4,Elevated Warning,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9,2.4,-8.2,-3,-7.8,8.6,-1.7
Sao Tome and Principe,2013,104th,69.4,Elevated Warning,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3,4.6,-9.7,0,-6.8,7.2,-1.8
Russia,2013,83rd,69.1,Elevated Warning,8.5,8,8.2,3.5,7,5.1,8.1,5.1,8.6,5.7,5.3,4,1.7,-9.7,-2.1,-7.6,9,-1.4
Gabon,2013,112th,69.1,Elevated Warning,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7,6.8,6.8,5.6,5.4,4,-7.9,-3.3,-6.6,5.6,-1.6
Vietnam,2013,86th,69.1,Elevated Warning,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6,2,-5.9,-8.1,-8,8.8,-2.4
Tunisia,2013,70th,68.9,Elevated Warning,7.2,7.8,7.8,6,6,5,7.9,5,8.4,4.9,4.2,6.3,2.2,-9.8,-5.7,-7.7,8.1,-2.7
Bosnia and Herzegovina,2013,75th,68.9,Elevated Warning,6.4,8.7,7.7,5.2,6.2,5.6,6.7,4.4,6.4,4.4,6.8,8,1.3,-8.9,-5.4,-7.9,9.8,-2.1
Moldova,2013,72nd,68.8,Elevated Warning,7.2,7.7,6,6.4,5.9,6.9,6.9,5.7,6,5.9,5,6.9,1.3,-9,-8.1,-7.5,7.9,-2
Belarus,2013,64th,68.5,Elevated Warning,6.3,8.3,6.8,6.2,5.7,3.9,9,5.2,8.3,5.7,3.6,7.6,1.7,-9.8,-6.1,-7.8,9.9,-2.7
Micronesia,2013,116th,68.1,Elevated Warning,5.4,5.6,4.2,7.5,8,8.4,6.3,6.3,3.1,7.1,3.1,7.9,3.3,-8.1,0,-7,8.6,0
Turkey,2013,82nd,68.1,Elevated Warning,7.9,7.3,9,5.3,6.8,3.9,5.9,5.5,5.5,5.7,7.4,5.6,2.1,-9.8,-2.8,-7.8,9.8,-1.4
Maldives,2013,63rd,67.8,Elevated Warning,5.8,8,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4,2.2,-9.9,-8.6,-7.8,10,-0.7
