Country,Year,Rank,Total discretized,Total,security apparatus discretized,C1  Security Apparatus,factionalized elites discretized,C2 Factionalized Elites,group grievance discretized,C3 Group Grievance,economy discretized,E1 Economy,economic inequality discretized,E2 Economic Inequality,human flight and brain drain discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,External Intervention discretized,X1 External Intervention,"Fertility rate, total (births per woman) discretized","Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT",Imports of goods and services discretized,Imports of goods and services ,"Life expectancy at birth, female (years) discretized","Life expectancy at birth, female (years)","People using basic drinking water services, rural  discretized","People using basic drinking water services, rural",Proportion of seats held by women in national parliaments discretized,Proportion of seats held by women in national parliaments 
Egypt,2015,38th,elevated warning,114.6,very low,8.2,very low,9,very low,8.7,very high,8.1,low,6.5,neutral,4.7,very low,8.7,neutral,5.4,very high,9.8,low,7.1,low,6.7,low,7.1,high,3.3,neutral,4.8,very low,0.6,high,6.2,very low,9.8,very low,0
Philippines,2015,39th,elevated warning,114.5,very low,9.1,very low,8,very low,8.3,high,6,low,6.2,low,6.2,low,7.5,high,7.2,neutral,5.9,very low,8.2,low,7.4,low,6.3,high,3,high,6.8,very low,1.3,neutral,5.9,very low,8.6,low,2.7
Mozambique,2015,40th,elevated warning,113.9,low,7,low,6.9,neutral,5.9,high,7.8,very low,8.6,low,7.4,low,7.2,very high,9,high,6.1,very low,8.7,neutral,5,low,7.3,neutral,5.3,very high,8.9,low,3.4,low,2.2,high,3.2,neutral,4
Sierra Leone,2015,41st,elevated warning,113.6,neutral,4.8,low,7.7,low,6.2,very high,8.7,very low,8.8,very low,8.4,low,6.9,very high,9.3,neutral,5.6,very low,9.5,very low,8.2,low,7.8,neutral,4.6,very high,9.2,low,2,very low,0,neutral,4.7,very low,1.2
Angola,2015,42nd,elevated warning,113.5,low,6,low,7.2,low,7.3,neutral,5.6,very low,9.6,low,6,very low,8.3,very high,8.9,high,7.3,very low,8.7,low,7.6,neutral,5.6,neutral,5.8,very high,8.8,very low,1.4,low,3.5,high,2.3,low,3.7
Senegal,2015,43rd,elevated warning,112.8,low,6.2,low,6.6,low,6.3,high,7.3,low,7.3,low,7.4,neutral,5.5,high,7.9,high,6.2,very low,8,low,7.8,low,6.5,neutral,4.8,high,7.6,low,2,neutral,4.8,low,6.3,neutral,4.3
Burkina Faso,2015,44th,elevated warning,112.6,low,7.4,low,7.8,neutral,5,high,7.1,very low,8.1,low,6.9,very low,8.1,very high,8.9,high,6.2,very low,9.1,low,7.1,low,7.5,neutral,5.4,very high,8.8,very low,1.6,low,2.4,neutral,4.3,very low,0.9
Malawi,2015,45th,elevated warning,112.2,neutral,4.8,low,7.7,neutral,5.4,very high,8.6,very low,8.4,very low,8.1,low,6.9,high,7.8,high,6.2,very low,8.8,low,6.1,very low,8.1,neutral,4.6,high,7.5,very low,1.4,low,3.8,low,6.3,very low,1.7
Togo,2015,46th,elevated warning,111.7,low,7,low,7.6,neutral,4.5,high,6.8,very low,8.1,low,7.3,very low,8.1,very high,8.6,high,7.2,very low,8,low,7.1,low,6.5,neutral,4.5,very high,8.4,low,3.1,low,2.5,neutral,4.5,very low,1.8
Djibouti,2015,47th,elevated warning,111.7,low,6.9,low,7.3,low,6.6,high,7.4,low,7.8,neutral,5.8,low,7.6,high,7.8,high,7.2,very low,8.2,low,7.1,very low,8.4,high,2.9,high,7.5,low,2.9,low,3.4,neutral,5.5,very low,1.3
