Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services ,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Iran,2012,37th,119.5,Elevated warning,8.3,Very High,9.3,Very Low,8.6,Very Low,6.4,High,6.7,Low,6.4,Low,8.8,Very Low,5.3,Neutral,8.9,Very High,5.8,Neutral,7.6,Low,7.4, Low,1.7,Very High,10,Very High,1.2,Very Low,6.6,High,9.9,Very Low,0.6,Very Low
Angola,2012,38th,119.4,Elevated warning,5.9,Neutral,7,Low,6.5,Low,4.8,Neutral,9.1,Very Low,5.6,Neutral,8.2,Very Low,8.3,Very High,7.6,High,8.9,Very Low,6.9,Low,6.4, Low,6,Neutral,6.8,High,2.3,Low,3.1,Low,10,Very Low,6.1,HIgh
Solomon Islands,2012,39th,119,Elevated warning,6.7,High,8,Low,6.8,Low,7.9,High,8.3,Very Low,5.4,Neutral,7.6,Low,7.8,High,6.2,High,7.6,Low,4.8,Neutral,8.5,Very Low,4.1,Neutral,10,Very High,3.6,Low,5.3,Neutral,10,Very Low,0.4,Very Low
Sierra Leone,2012,40th,118.7,Elevated warning,5.7,Neutral,7.9,Low,6.2,Low,8.3,Very High,8.2,Very Low,7.7,Low,7.6,Low,8.7,Very High,6.4,High,8.9,Very Low,7.8,Low,7.1,Low,4.9,Neutral,8.9,Very High,3.5,Low,0,Very Low,8.7,Very Low,2.2,Low
Bangladesh,2012,41st,118.3,Elevated warning,7.6,High,8.9,Very Low,8.9,Very Low,7.4,High,8.1,Very Low,7.8,Low,8.2,Very Low,7.8,High,6.8,High,8,Low,6.8,Low,5.9,Neutral,2.2,High,9.3,Very High,1.6,Very Low,5.7,Neutral,3.7,High,3.5,Low
Myanmar,2012,42nd,118.1,Elevated warning,7.5,High,8.6,Very Low,8.7,Very Low,7.6,High,8.7,Very Low,5.7,Neutral,9.4,Very Low,8.4,Very High,8.6,Very High,7.9,Low,8.2,Very Low,6.9,Low,2.3,High,8,High,0.6,Very Low,4.5,Neutral,5.4,Neutral,1.1,Very Low
Georgia,2012,43rd,118.1,Elevated warning,7.6,High,9.1,Very Low,8.3,Very Low,6.3,High,6.6,Low,5.2,Neutral,8.5,Very Low,5.7,Neutral,6.7,High,5.5,Neutral,7.2,Low,8.2,Very Low,2,Very High,9.1,Very High,3.3,Low,6.8,High,9.9,Very Low,2.1,Low
Senegal,2012,44th,117.7,Elevated warning,6.3,High,6.3,Low,6,Neutral,6.9,High,6.9,Low,6.3,Low,6,Neutral,7.5,High,6.5,High,7.8,Low,6.7,Low,6,Neutral,5,Neutral,8.9,Very High,2.8,Low,4.3,Neutral,9.9,Very Low,7.6,HIgh
Mozambique,2012,45th,117.7,Elevated warning,6.8,High,5.6,Neutral,4.9,Neutral,7.9,High,7.7,Low,7.5,Low,7.3,Low,8.3,Very High,6.7,High,8.9,Very Low,4.3,Neutral,6.5, Low,5.5,Neutral,6.9,High,4.5,Neutral,1.9,Very Low,9.5,Very Low,7,HIgh
Cambodia,2012,46th,117.1,Elevated warning,6.5,High,8,Low,7.3,Low,6.9,High,7.1,Low,7.7,Low,8.2,Very Low,8.3,Very High,7.7,High,7.5,Low,5.9,Neutral,7.7, Low,2.7,High,8.3,Very High,3.6,Low,4.9,Neutral,5.2,Neutral,3.6,Low
Tanzania,2012,47th,116.5,Elevated warning,5.8,Neutral,5.7,Neutral,5.8,Neutral,6.9,High,5.9,Neutral,6.1,Low,6.5,Low,8.5,Very High,6.5,High,8.2,Very Low,7.1,Low,7.4, Low,5.3,Neutral,9.1,Very High,1.9,Very Low,3.6,Low,9.9,Very Low,6.4,HIgh
Togo,2012,48th,116,Elevated warning,7.3,High,7.5,Low,5.1,Neutral,7.7,High,7.6,Low,6.9,Low,8.2,Very Low,8.2,Very High,7.4,High,8.1,Very Low,6.8,Low,6.8, Low,4.7,Neutral,8,High,3.5,Low,2.3,Low,7.9,Low,2,Very Low
