Country,Year,Rank,Total discretized,Security Apparatus discretized,Factionalized Elites discretized,Group grievance discretized,Economy discretized,Economic Inequality discretized,human flight discretized,state legitimacy discretized,public services discretized,human rights discretized,demographic pressures discretized,refugees discretized,external intervention,fertility rate discretized,"Immunization, DPT discretized",Imports of goods and services discretized,life expectancy discretized,basic drinking water discretized,seats held by women discretized
Namibia,2014,113th,warning,neutral,high,neutral,high,very low,low,neutral,high,neutral,low,neutral,low,high,very high,low,neutral,low,very low
Albania,2014,114th,warning,neutral,low,neutral,neutral,neutral,low,low,neutral,neutral,neutral,high,low,very high,very high,low,very low,very low,low
Jamaica,2014,115th,warning,high,high,neutral,high,neutral,low,neutral,neutral,neutral,neutral,high,low,high,very high,low,low,very low,very low
Saudi Arabia,2014,116th,warning,high,very low,low,low,low,high,very low,neutral,very high,low,neutral,neutral,high,very high,very low,low,very high,low
Gabon,2014,117th,warning,neutral,low,high,neutral,low,neutral,low,high,high,low,neutral,neutral,high,high,very low,neutral,neutral,very low
Brunei Darussalam,2014,118th,warning,neutral,low,low,low,low,neutral,low,low,high,neutral,high,neutral,very high,very high,very low,low,very low,very low
Seychelles,2014,119th,warning,high,neutral,neutral,neutral,low,neutral,low,low,neutral,neutral,high,low,high,very high,neutral,low,very high,neutral
South Africa,2014,120th,warning,neutral,neutral,neutral,neutral,low,neutral,neutral,high,neutral,low,low,high,high,high,very low,high,low,neutral
Botswana,2014,121st,warning,low,high,neutral,high,low,neutral,neutral,high,neutral,very low,neutral,neutral,high,very high,low,neutral,neutral,very low
Brazil,2014,122nd,stable,neutral,neutral,neutral,low,very low,high,neutral,neutral,neutral,low,high,high,very high,very high,very low,low,very low,very low
Ukraine,2014,123rd,stable,neutral,very low,low,neutral,neutral,neutral,very low,low,high,neutral,high,low,very high,very low,low,low,very low,very low
Grenada,2014,124th,stable,neutral,neutral,high,high,neutral,very low,low,low,neutral,neutral,high,low,high,very high,low,low,very high,low
Bahrain,2014,125th,stable,high,low,low,low,neutral,high,low,low,high,neutral,high,neutral,high,very high,neutral,low,very high,very low
Romania,2014,126th,stable,low,neutral,low,neutral,neutral,neutral,low,neutral,neutral,neutral,high,neutral,very high,very high,very low,low,very low,very low
Montenegro,2014,127th,stable,neutral,low,low,neutral,high,high,neutral,low,neutral,high,neutral,neutral,very high,very high,low,low,very low,very low
Panama,2014,128th,stable,neutral,high,neutral,low,low,neutral,neutral,neutral,neutral,neutral,neutral,high,high,high,low,very low,very low,very low
Bulgaria,2014,129th,stable,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,low,neutral,high,neutral,very high,very high,low,low,very low,low
Mongolia,2014,130th,stable,neutral,neutral,neutral,neutral,low,high,neutral,high,neutral,neutral,high,low,high,very high,low,low,neutral,very low
Croatia,2014,131st,stable,neutral,neutral,neutral,neutral,neutral,neutral,high,low,neutral,high,neutral,neutral,very high,very high,low,very low,very low,low
Greece,2014,132nd,stable,neutral,high,neutral,high,neutral,neutral,low,low,low,high,very high,neutral,very high,very high,very low,very low,very low,low
Trinidad and Tobago,2014,133rd,stable,neutral,neutral,neutral,neutral,neutral,low,neutral,neutral,neutral,neutral,high,high,very high,very high,low,low,very high,low
Oman,2014,135th,stable,neutral,low,high,neutral,high,high,low,neutral,high,neutral,high,high,high,very high,low,low,low,very low
United Arab Emirates,2014,134th,stable,low,high,neutral,low,neutral,high,low,low,high,neutral,high,high,very high,very high,neutral,low,very low,very low
Hungary,2014,136th,stable,low,neutral,neutral,neutral,neutral,high,low,low,neutral,high,high,high,very high,very high,neutral,low,very low,very low
Malta,2014,137th,stable,low,high,neutral,low,high,neutral,high,low,low,high,neutral,high,very high,very high,high,very low,very low,very low
Antigua and Barbuda,2014,138th,stable,neutral,high,neutral,neutral,neutral,low,neutral,neutral,neutral,neutral,high,low,high,very high,low,low,very high,very low
Costa Rica,2014,139th,stable,low,high,neutral,neutral,neutral,high,high,neutral,low,neutral,neutral,neutral,very high,very high,very low,very low,very low,low
Latvia,2014,140th,stable,low,neutral,neutral,neutral,neutral,neutral,neutral,low,low,high,high,high,very high,very high,low,low,very low,very low
Slovak Republic,2014,141st,stable,low,high,neutral,neutral,neutral,neutral,neutral,low,low,high,high,high,very high,very high,neutral,very low,very low,very low
Argentina,2014,142nd,stable,low,high,neutral,neutral,neutral,high,neutral,neutral,neutral,neutral,high,high,high,very high,very low,very low,very low,low
Estonia,2014,143rd,stable,low,neutral,low,low,neutral,high,high,low,low,high,high,high,very high,very high,neutral,very low,very low,very low
Mauritius,2014,144th,stable,low,high,high,neutral,neutral,high,high,neutral,low,neutral,high,neutral,very high,very high,low,low,very low,very low
Spain,2014,145th,stable,low,low,low,neutral,high,high,high,low,low,high,high,very high,very high,very high,very low,very low,very low,neutral
Kuwait,2014,146th,stable,neutral,very low,neutral,low,neutral,high,low,low,high,neutral,high,neutral,high,very high,very low,low,very high,very low
Lithuania,2014,147th,stable,low,high,neutral,neutral,neutral,neutral,high,low,low,high,high,high,very high,very high,neutral,very low,very low,low
Italy,2014,148th,stable,neutral,neutral,neutral,neutral,high,high,neutral,low,low,high,high,very high,very high,very high,very low,very low,very low,low
Bahamas,2014,149th,stable,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,low,low,high,neutral,very high,very high,low,low,very high,very low
Poland,2014,150th,stable,low,high,neutral,neutral,high,neutral,high,low,low,high,high,high,very high,very high,low,very low,very low,low
Czech Republic,2014,151st,stable,low,neutral,high,neutral,high,high,neutral,low,low,high,high,high,very high,very high,neutral,very low,very low,low
Chile,2014,152nd,more stable,low,very high,high,low,neutral,high,high,neutral,low,neutral,high,high,very high,very high,very low,very low,very low,very low
Barbados,2014,153rd,more stable,neutral,neutral,neutral,neutral,neutral,neutral,high,low,low,neutral,high,neutral,very high,very high,low,low,very high,very low
Belgium,2014,154th,more stable,low,high,neutral,neutral,high,very high,high,low,very low,high,very high,very high,very high,very high,neutral,very low,very low,low
France,2014,155th,more stable,low,very high,low,neutral,neutral,high,high,very low,low,high,high,very high,high,very high,very low,very low,very low,low
Slovenia,2014,156th,more stable,low,very high,high,low,neutral,high,high,low,low,high,very high,high,very high,very high,low,very low,very low,low
Uruguay,2014,157th,more stable,low,high,high,low,neutral,neutral,very high,low,low,high,high,high,high,very high,very low,very low,very low,very low
Qatar,2014,158th,more stable,low,neutral,neutral,low,neutral,high,low,low,neutral,neutral,high,high,high,very high,very low,low,very high,very low
Singapore,2014,159th,more stable,low,neutral,high,low,neutral,high,high,low,neutral,high,very high,high,very high,very high,very high,very low,very high,low
Luxembourg,2014,160th,more stable,low,high,high,very low,very high,high,very high,very low,very low,high,very high,very high,very high,very high,very high,very low,very low,low
Portugal,2014,161st,more stable,very low,very high,high,neutral,high,high,high,low,low,high,very high,high,very high,very high,very low,very low,very low,low
United Kingdom,2014,162nd,more stable,low,high,neutral,neutral,high,high,very high,low,low,high,high,very high,very high,very high,very low,very low,very low,low
United States,2014,163rd,more stable,low,neutral,neutral,low,neutral,very high,high,low,low,high,high,very high,very high,very high,very low,very low,very low,very low
Netherlands,2014,164th,more stable,low,high,neutral,low,high,high,very high,very low,very low,high,high,very high,very high,very high,low,very low,very low,low
Germany,2014,165th,more stable,low,high,neutral,low,high,high,very high,very low,very low,high,high,very high,very high,very high,very low,very low,very low,low
Austria,2014,166th,more stable,very low,high,neutral,low,high,very high,very high,very low,low,high,high,very high,very high,very high,low,very low,very low,low
Ireland,2014,167th,more stable,low,very high,very high,neutral,high,high,very high,low,very low,high,very high,high,very high,very high,neutral,very low,very low,very low
Iceland,2014,168th,more stable,very low,very high,very high,low,very high,high,very high,very low,very low,very high,very high,neutral,very high,very high,low,very low,very low,neutral
Australia,2014,169th,very stable,low,very high,high,low,high,very high,very high,low,low,high,high,very high,very high,very high,very low,very low,very low,low
Switzerland,2014,170th,very stable,very low,very high,high,low,high,high,very high,very low,very low,high,very high,very high,very high,very high,low,very low,very low,low
South Korea,2014,171st,very stable,low,high,high,low,high,high,high,low,low,high,very high,neutral,high,neutral,very low,high,low,neutral
Denmark,2014,172nd,very stable,very low,very high,high,low,very high,high,very high,very low,very low,high,very high,very high,very high,very high,low,very low,very low,low
Japan,2014,174th,very stable,very low,high,neutral,low,high,high,high,low,low,neutral,high,high,very high,very high,very low,very low,very high,very low
Sweden,2014,173rd,very stable,low,very high,very high,low,very high,very high,very high,very low,very low,high,high,very high,very high,very high,very low,very low,very low,neutral
Norway,2014,175th,very stable,low,very high,high,low,very high,very high,very high,very low,very low,high,high,very high,very high,very high,very low,very low,very low,neutral
New Zealand,2014,176th,very stable,very low,very high,high,low,high,high,very high,low,very low,high,very high,very high,very high,very high,very low,very low,very low,low
Finland,2014,177th,very stable,very low,very high,very high,low,very high,high,very high,very low,very low,very high,very high,very high,very high,very high,very low,very low,very low,neutral
Canada,2014,178th,very stable,low,high,high,low,high,high,very high,low,low,high,high,very high,very high,very high,very low,very low,very high,low
