Country,Year,Rank,Total discretized,Total,Security Apparatus discretized,C1 Security Apparatus,Factionalized Elites discretized,Factionalized elites discretized,Group grievance discretized,C3 Group Grievance,Economy discretized,E1 Economy,Economic Inequality discretized,E2 Economic Inequality,human flight discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,external intervention,X1 External Intervention,fertility rate discretized,"Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT ",Imports of goods and services discretized,Imports of goods and services,life expectancy discretized,"Life expectancy at birth, female (years)",basic drinking water discretized,"People using basic drinking water services, rural ",seats held by women discretized,Proportion of seats held by women in national parliaments 
Libya,2014,51st,elevated warning,112.4,very high,9.2,very low,8.1,low,7.5,high,6.1,low,6.4,neutral,5.5,very low,8.5,high,7.4,very high,8.7,neutral,5.7,neutral,5.7,very low,9,high,2.3,very high,9.4,neutral,4.7,low,6.6,very high,0,very low,1.6
Colombia,2014,50th,elevated warning,112.4,high,7,low,7.7,low,7.7,neutral,4.1,low,7.8,low,7,low,7.4,high,6.3,high,7.1,low,6.2,very low,8,low,6.8,very high,1.9,very high,8.9,very low,0.6,low,7.4,very low,8.5,low,2
Laos,2014,52nd,elevated warning,112.2,high,6.3,very low,8.3,low,6,neutral,5.8,low,6.6,low,7.1,very low,8.6,high,7.4,very high,8,low,7.4,neutral,5.9,low,6.9,high,2.8,very high,8.6,low,2.4,neutral,4.5,low,7.1,low,2.5
Bolivia,2014,53rd,elevated warning,112.1,high,6.4,very low,8,low,6.8,neutral,5.9,very low,8.6,low,6.1,low,6.9,high,7,high,6,low,6.6,neutral,4.3,low,6.3,high,3,very high,9.9,very low,1.9,neutral,5.5,low,7.7,neutral,5.3
Bhutan,2014,54th,elevated warning,111.7,neutral,5.3,low,7.5,low,7.6,high,6,low,7.2,low,7.1,neutral,5.5,high,6.6,high,7,low,6.3,low,7.2,low,7.6,high,2.1,very high,10,low,2.9,neutral,5.1,very low,9.8,very low,0.9
Algeria,2014,55th,elevated warning,111.6,high,7.5,low,7.3,low,7.9,high,6.1,neutral,5.9,neutral,5,low,7.5,high,6.1,high,7.4,neutral,5.7,low,6.7,neutral,5.7,high,2.9,very high,9.5,very low,1.3,low,7.2,very low,8.8,low,3.2
Jordan,2014,56th,elevated warning,111.5,neutral,5.5,low,6.9,low,7.4,high,6.6,low,6.2,high,3.9,low,6.4,neutral,5,high,7.3,low,6.7,very low,8.3,low,6.5,high,3.5,very high,9.9,low,3.6,low,6.9,very low,9.7,very low,1.2
Nicaragua,2014,57th,elevated warning,111.4,neutral,5.3,low,6.8,low,6.2,high,6.5,low,7.6,low,7.8,low,7.6,high,6.9,neutral,5.1,neutral,5.9,neutral,5.1,low,7.6,high,2.3,very high,9.9,low,3.1,low,7.5,low,6.1,neutral,4.2
Honduras,2014,58th,elevated warning,111.3,high,6.4,low,7,low,6.1,high,6.6,low,7.8,low,6.3,low,7,high,6.7,high,6,low,6.7,neutral,4.2,low,7.1,high,2.6,very high,9.7,low,3.4,low,6.9,very low,8.3,low,2.6
Fiji,2014,59th,elevated warning,111.2,high,7,low,7.9,low,7.3,high,7,low,7.1,low,7.3,low,7.8,neutral,4.8,high,7.2,neutral,5,high,3.7,low,6.9,high,2.6,very high,10,low,3.3,low,6.1,very low,8.9,very low,1.4
